[SKIP] Library/reference/facts/cleaned_chapters/book_0001 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0001 (feature-index)
[SKIP] Library/reference/facts/cleaned_chapters/book_0002 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0002 (feature-index)
[CHAPTER-SKIP] 0003 85/4226 -> chapter_0085.json (output)
[CHAPTER-SKIP] 0003 86/4226 -> chapter_0086.json (output)
[CHAPTER-SKIP] 0003 87/4226 -> chapter_0087.json (output)
[CHAPTER-SKIP] 0003 88/4226 -> chapter_0088.json (output)
[CHAPTER-SKIP] 0003 89/4226 -> chapter_0089.json (output)
[CHAPTER-SKIP] 0003 90/4226 -> chapter_0090.json (output)
[CHAPTER-SKIP] 0003 91/4226 -> chapter_0091.json (output)
[CHAPTER-SKIP] 0003 92/4226 -> chapter_0092.json (output)
[CHAPTER-SKIP] 0003 93/4226 -> chapter_0093.json (output)
[CHAPTER-SKIP] 0003 94/4226 -> chapter_0094.json (output)
[CHAPTER-SKIP] 0003 95/4226 -> chapter_0095.json (output)
[CHAPTER-SKIP] 0003 96/4226 -> chapter_0096.json (output)
[CHAPTER-SKIP] 0003 97/4226 -> chapter_0097.json (output)
[CHAPTER-SKIP] 0003 98/4226 -> chapter_0098.json (output)
[CHAPTER-SKIP] 0003 99/4226 -> chapter_0099.json (output)
[CHAPTER-SKIP] 0003 100/4226 -> chapter_0100.json (output)
[CHAPTER-SKIP] 0003 101/4226 -> chapter_0101.json (output)
[CHAPTER-SKIP] 0003 102/4226 -> chapter_0102.json (output)
[CHAPTER-SKIP] 0003 103/4226 -> chapter_0103.json (output)
[CHAPTER-SKIP] 0003 104/4226 -> chapter_0104.json (output)
[CHAPTER-SKIP] 0003 105/4226 -> chapter_0105.json (output)
[CHAPTER-SKIP] 0003 106/4226 -> chapter_0106.json (output)
[CHAPTER-SKIP] 0003 107/4226 -> chapter_0107.json (output)
[CHAPTER-SKIP] 0003 108/4226 -> chapter_0108.json (output)
[CHAPTER-SKIP] 0003 109/4226 -> chapter_0109.json (output)
[CHAPTER-SKIP] 0003 110/4226 -> chapter_0110.json (output)
[CHAPTER-SKIP] 0003 111/4226 -> chapter_0111.json (output)
[CHAPTER-SKIP] 0003 112/4226 -> chapter_0112.json (output)
[CHAPTER-SKIP] 0003 113/4226 -> chapter_0113.json (output)
[CHAPTER-SKIP] 0003 114/4226 -> chapter_0114.json (output)
[CHAPTER-SKIP] 0003 115/4226 -> chapter_0115.json (output)
[CHAPTER-SKIP] 0003 116/4226 -> chapter_0116.json (output)
[CHAPTER-SKIP] 0003 117/4226 -> chapter_0117.json (output)
[CHAPTER-SKIP] 0003 118/4226 -> chapter_0118.json (output)
[CHAPTER-SKIP] 0003 119/4226 -> chapter_0119.json (output)
[CHAPTER-SKIP] 0003 120/4226 -> chapter_0120.json (output)
[CHAPTER-SKIP] 0003 121/4226 -> chapter_0121.json (output)
[CHAPTER-SKIP] 0003 122/4226 -> chapter_0122.json (output)
[CHAPTER-SKIP] 0003 123/4226 -> chapter_0123.json (output)
[CHAPTER-SKIP] 0003 124/4226 -> chapter_0124.json (output)
[CHAPTER-SKIP] 0003 125/4226 -> chapter_0125.json (output)
[CHAPTER-SKIP] 0003 126/4226 -> chapter_0126.json (output)
[CHAPTER-SKIP] 0003 127/4226 -> chapter_0127.json (output)
[CHAPTER-SKIP] 0003 128/4226 -> chapter_0128.json (output)
[CHAPTER-SKIP] 0003 129/4226 -> chapter_0129.json (output)
[CHAPTER-SKIP] 0003 130/4226 -> chapter_0130.json (output)
[CHAPTER-SKIP] 0003 131/4226 -> chapter_0131.json (output)
[CHAPTER-SKIP] 0003 132/4226 -> chapter_0132.json (output)
[CHAPTER-SKIP] 0003 133/4226 -> chapter_0133.json (output)
[CHAPTER-SKIP] 0003 134/4226 -> chapter_0134.json (output)
[CHAPTER-SKIP] 0003 135/4226 -> chapter_0135.json (output)
[CHAPTER-SKIP] 0003 136/4226 -> chapter_0136.json (output)
[CHAPTER-SKIP] 0003 137/4226 -> chapter_0137.json (output)
[CHAPTER-SKIP] 0003 138/4226 -> chapter_0138.json (output)
[CHAPTER-SKIP] 0003 139/4226 -> chapter_0139.json (output)
[CHAPTER-SKIP] 0003 140/4226 -> chapter_0140.json (output)
[CHAPTER-SKIP] 0003 141/4226 -> chapter_0141.json (output)
[CHAPTER-SKIP] 0003 142/4226 -> chapter_0142.json (output)
[CHAPTER-SKIP] 0003 143/4226 -> chapter_0143.json (output)
[CHAPTER-SKIP] 0003 144/4226 -> chapter_0144.json (output)
[CHAPTER-SKIP] 0003 145/4226 -> chapter_0145.json (output)
[CHAPTER-SKIP] 0003 146/4226 -> chapter_0146.json (output)
[CHAPTER-SKIP] 0003 147/4226 -> chapter_0147.json (output)
[CHAPTER-SKIP] 0003 148/4226 -> chapter_0148.json (output)
[CHAPTER-SKIP] 0003 149/4226 -> chapter_0149.json (output)
[CHAPTER-SKIP] 0003 150/4226 -> chapter_0150.json (output)
[CHAPTER-SKIP] 0003 151/4226 -> chapter_0151.json (output)
[CHAPTER-SKIP] 0003 152/4226 -> chapter_0152.json (output)
[CHAPTER-SKIP] 0003 153/4226 -> chapter_0153.json (output)
[CHAPTER-SKIP] 0003 154/4226 -> chapter_0154.json (output)
[CHAPTER-SKIP] 0003 155/4226 -> chapter_0155.json (output)
[CHAPTER-SKIP] 0003 156/4226 -> chapter_0156.json (output)
[CHAPTER-SKIP] 0003 157/4226 -> chapter_0157.json (output)
[CHAPTER-SKIP] 0003 158/4226 -> chapter_0158.json (output)
[CHAPTER-SKIP] 0003 159/4226 -> chapter_0159.json (output)
[CHAPTER-SKIP] 0003 160/4226 -> chapter_0160.json (output)
[CHAPTER-SKIP] 0003 161/4226 -> chapter_0161.json (output)
[CHAPTER-SKIP] 0003 162/4226 -> chapter_0162.json (output)
[CHAPTER-SKIP] 0003 163/4226 -> chapter_0163.json (output)
[CHAPTER-SKIP] 0003 164/4226 -> chapter_0164.json (output)
[CHAPTER-SKIP] 0003 165/4226 -> chapter_0165.json (output)
[CHAPTER-SKIP] 0003 166/4226 -> chapter_0166.json (output)
[CHAPTER-SKIP] 0003 167/4226 -> chapter_0167.json (output)
[CHAPTER-SKIP] 0003 168/4226 -> chapter_0168.json (output)
[CHAPTER-SKIP] 0003 169/4226 -> chapter_0169.json (output)
[CHAPTER-SKIP] 0003 170/4226 -> chapter_0170.json (output)
[CHAPTER-SKIP] 0003 171/4226 -> chapter_0171.json (output)
[CHAPTER-SKIP] 0003 172/4226 -> chapter_0172.json (output)
[CHAPTER-SKIP] 0003 173/4226 -> chapter_0173.json (output)
[CHAPTER-SKIP] 0003 174/4226 -> chapter_0174.json (output)
[CHAPTER-SKIP] 0003 175/4226 -> chapter_0175.json (output)
[CHAPTER-SKIP] 0003 176/4226 -> chapter_0176.json (output)
[CHAPTER-SKIP] 0003 177/4226 -> chapter_0177.json (output)
[CHAPTER-SKIP] 0003 178/4226 -> chapter_0178.json (output)
[CHAPTER-SKIP] 0003 179/4226 -> chapter_0179.json (output)
[CHAPTER-SKIP] 0003 180/4226 -> chapter_0180.json (output)
[CHAPTER-SKIP] 0003 181/4226 -> chapter_0181.json (output)
[CHAPTER-SKIP] 0003 182/4226 -> chapter_0182.json (output)
[CHAPTER-SKIP] 0003 183/4226 -> chapter_0183.json (output)
[CHAPTER-SKIP] 0003 184/4226 -> chapter_0184.json (output)
[CHAPTER-SKIP] 0003 185/4226 -> chapter_0185.json (output)
[CHAPTER-SKIP] 0003 186/4226 -> chapter_0186.json (output)
[CHAPTER-SKIP] 0003 187/4226 -> chapter_0187.json (output)
[CHAPTER-SKIP] 0003 188/4226 -> chapter_0188.json (output)
[CHAPTER-SKIP] 0003 189/4226 -> chapter_0189.json (output)
[CHAPTER-SKIP] 0003 190/4226 -> chapter_0190.json (output)
[CHAPTER-SKIP] 0003 191/4226 -> chapter_0191.json (output)
[CHAPTER-SKIP] 0003 192/4226 -> chapter_0192.json (output)
[CHAPTER-SKIP] 0003 193/4226 -> chapter_0193.json (output)
[CHAPTER-SKIP] 0003 194/4226 -> chapter_0194.json (output)
[CHAPTER-SKIP] 0003 195/4226 -> chapter_0195.json (output)
[CHAPTER-SKIP] 0003 196/4226 -> chapter_0196.json (output)
[CHAPTER-SKIP] 0003 197/4226 -> chapter_0197.json (output)
[CHAPTER-SKIP] 0003 198/4226 -> chapter_0198.json (output)
[CHAPTER-SKIP] 0003 199/4226 -> chapter_0199.json (output)
[CHAPTER-SKIP] 0003 200/4226 -> chapter_0200.json (output)
[CHAPTER-SKIP] 0003 201/4226 -> chapter_0201.json (output)
[CHAPTER-SKIP] 0003 202/4226 -> chapter_0202.json (output)
[CHAPTER-SKIP] 0003 203/4226 -> chapter_0203.json (output)
[CHAPTER-SKIP] 0003 204/4226 -> chapter_0204.json (output)
[CHAPTER-SKIP] 0003 205/4226 -> chapter_0205.json (output)
[CHAPTER-SKIP] 0003 206/4226 -> chapter_0206.json (output)
[CHAPTER-SKIP] 0003 207/4226 -> chapter_0207.json (output)
[CHAPTER-SKIP] 0003 208/4226 -> chapter_0208.json (output)
[CHAPTER-SKIP] 0003 209/4226 -> chapter_0209.json (output)
[CHAPTER-SKIP] 0003 210/4226 -> chapter_0210.json (output)
[CHAPTER-SKIP] 0003 211/4226 -> chapter_0211.json (output)
[CHAPTER-SKIP] 0003 212/4226 -> chapter_0212.json (output)
[CHAPTER-SKIP] 0003 213/4226 -> chapter_0213.json (output)
[CHAPTER-SKIP] 0003 214/4226 -> chapter_0214.json (output)
[CHAPTER-SKIP] 0003 215/4226 -> chapter_0215.json (output)
[CHAPTER-SKIP] 0003 216/4226 -> chapter_0216.json (output)
[CHAPTER-SKIP] 0003 217/4226 -> chapter_0217.json (output)
[CHAPTER-SKIP] 0003 218/4226 -> chapter_0218.json (output)
[CHAPTER-SKIP] 0003 219/4226 -> chapter_0219.json (output)
[CHAPTER-SKIP] 0003 220/4226 -> chapter_0220.json (output)
[CHAPTER-SKIP] 0003 221/4226 -> chapter_0221.json (output)
[CHAPTER-SKIP] 0003 222/4226 -> chapter_0222.json (output)
[CHAPTER-SKIP] 0003 223/4226 -> chapter_0223.json (output)
[CHAPTER-SKIP] 0003 224/4226 -> chapter_0224.json (output)
[CHAPTER-SKIP] 0003 225/4226 -> chapter_0225.json (output)
[CHAPTER-SKIP] 0003 226/4226 -> chapter_0226.json (output)
[CHAPTER-SKIP] 0003 227/4226 -> chapter_0227.json (output)
[CHAPTER-SKIP] 0003 228/4226 -> chapter_0228.json (output)
[CHAPTER-SKIP] 0003 229/4226 -> chapter_0229.json (output)
[CHAPTER-SKIP] 0003 230/4226 -> chapter_0230.json (output)
[CHAPTER-SKIP] 0003 231/4226 -> chapter_0231.json (output)
[CHAPTER-SKIP] 0003 232/4226 -> chapter_0232.json (output)
[CHAPTER-SKIP] 0003 233/4226 -> chapter_0233.json (output)
[CHAPTER-SKIP] 0003 234/4226 -> chapter_0234.json (output)
[CHAPTER-SKIP] 0003 235/4226 -> chapter_0235.json (output)
[CHAPTER-SKIP] 0003 236/4226 -> chapter_0236.json (output)
[CHAPTER-SKIP] 0003 237/4226 -> chapter_0237.json (output)
[CHAPTER-SKIP] 0003 238/4226 -> chapter_0238.json (output)
[CHAPTER-SKIP] 0003 239/4226 -> chapter_0239.json (output)
[CHAPTER-SKIP] 0003 240/4226 -> chapter_0240.json (output)
[CHAPTER-SKIP] 0003 241/4226 -> chapter_0241.json (output)
[CHAPTER-SKIP] 0003 242/4226 -> chapter_0242.json (output)
[CHAPTER-SKIP] 0003 243/4226 -> chapter_0243.json (output)
[CHAPTER-SKIP] 0003 244/4226 -> chapter_0244.json (output)
[CHAPTER-SKIP] 0003 245/4226 -> chapter_0245.json (output)
[CHAPTER-SKIP] 0003 246/4226 -> chapter_0246.json (output)
[CHAPTER-SKIP] 0003 247/4226 -> chapter_0247.json (output)
[CHAPTER-SKIP] 0003 248/4226 -> chapter_0248.json (output)
[CHAPTER-SKIP] 0003 249/4226 -> chapter_0249.json (output)
[CHAPTER-SKIP] 0003 250/4226 -> chapter_0250.json (output)
[CHAPTER-SKIP] 0003 251/4226 -> chapter_0251.json (output)
[CHAPTER-SKIP] 0003 252/4226 -> chapter_0252.json (output)
[CHAPTER-SKIP] 0003 253/4226 -> chapter_0253.json (output)
[CHAPTER-SKIP] 0003 254/4226 -> chapter_0254.json (output)
[CHAPTER-SKIP] 0003 255/4226 -> chapter_0255.json (output)
[CHAPTER-SKIP] 0003 256/4226 -> chapter_0256.json (output)
[CHAPTER-SKIP] 0003 257/4226 -> chapter_0257.json (output)
[CHAPTER-SKIP] 0003 258/4226 -> chapter_0258.json (output)
[CHAPTER-SKIP] 0003 259/4226 -> chapter_0259.json (output)
[CHAPTER-SKIP] 0003 260/4226 -> chapter_0260.json (output)
[CHAPTER-SKIP] 0003 261/4226 -> chapter_0261.json (output)
[CHAPTER-SKIP] 0003 262/4226 -> chapter_0262.json (output)
[CHAPTER-SKIP] 0003 263/4226 -> chapter_0263.json (output)
[CHAPTER-SKIP] 0003 264/4226 -> chapter_0264.json (output)
[CHAPTER-SKIP] 0003 265/4226 -> chapter_0265.json (output)
[CHAPTER-SKIP] 0003 266/4226 -> chapter_0266.json (output)
[CHAPTER-SKIP] 0003 267/4226 -> chapter_0267.json (output)
[CHAPTER-SKIP] 0003 268/4226 -> chapter_0268.json (output)
[CHAPTER-SKIP] 0003 269/4226 -> chapter_0269.json (output)
[CHAPTER-SKIP] 0003 270/4226 -> chapter_0270.json (output)
[CHAPTER-SKIP] 0003 271/4226 -> chapter_0271.json (output)
[CHAPTER-SKIP] 0003 272/4226 -> chapter_0272.json (output)
[CHAPTER-SKIP] 0003 273/4226 -> chapter_0273.json (output)
[CHAPTER-SKIP] 0003 274/4226 -> chapter_0274.json (output)
[CHAPTER-SKIP] 0003 275/4226 -> chapter_0275.json (output)
[CHAPTER-SKIP] 0003 276/4226 -> chapter_0276.json (output)
[CHAPTER-SKIP] 0003 277/4226 -> chapter_0277.json (output)
[CHAPTER-SKIP] 0003 278/4226 -> chapter_0278.json (output)
[CHAPTER-SKIP] 0003 279/4226 -> chapter_0279.json (output)
[CHAPTER-SKIP] 0003 280/4226 -> chapter_0280.json (output)
[CHAPTER-SKIP] 0003 281/4226 -> chapter_0281.json (output)
