[SKIP] Library/reference/facts/cleaned_chapters/book_0001 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0001 (index=0001)
[SKIP] Library/reference/facts/cleaned_chapters/book_0002 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0002 (index=0002)
[CHAPTER-SKIP] 0003 85/4226 -> chapter_0085.json (state)
[CHAPTER-SKIP] 0003 86/4226 -> chapter_0086.json (state)
[CHAPTER-SKIP] 0003 87/4226 -> chapter_0087.json (state)
[CHAPTER-SKIP] 0003 88/4226 -> chapter_0088.json (state)
[CHAPTER-SKIP] 0003 89/4226 -> chapter_0089.json (state)
[CHAPTER-SKIP] 0003 90/4226 -> chapter_0090.json (state)
[CHAPTER-SKIP] 0003 91/4226 -> chapter_0091.json (state)
[CHAPTER-SKIP] 0003 92/4226 -> chapter_0092.json (state)
[CHAPTER-SKIP] 0003 93/4226 -> chapter_0093.json (state)
[CHAPTER-SKIP] 0003 94/4226 -> chapter_0094.json (state)
[CHAPTER-SKIP] 0003 95/4226 -> chapter_0095.json (state)
[CHAPTER-SKIP] 0003 96/4226 -> chapter_0096.json (state)
[CHAPTER-SKIP] 0003 97/4226 -> chapter_0097.json (state)
[CHAPTER-SKIP] 0003 98/4226 -> chapter_0098.json (state)
[CHAPTER-SKIP] 0003 99/4226 -> chapter_0099.json (state)
[CHAPTER-SKIP] 0003 100/4226 -> chapter_0100.json (state)
[CHAPTER-SKIP] 0003 101/4226 -> chapter_0101.json (state)
[CHAPTER-SKIP] 0003 102/4226 -> chapter_0102.json (state)
[CHAPTER-SKIP] 0003 103/4226 -> chapter_0103.json (state)
[CHAPTER-SKIP] 0003 104/4226 -> chapter_0104.json (state)
[CHAPTER-SKIP] 0003 105/4226 -> chapter_0105.json (state)
[CHAPTER-SKIP] 0003 106/4226 -> chapter_0106.json (state)
[CHAPTER-SKIP] 0003 107/4226 -> chapter_0107.json (state)
[CHAPTER-SKIP] 0003 108/4226 -> chapter_0108.json (state)
[CHAPTER-SKIP] 0003 109/4226 -> chapter_0109.json (state)
[CHAPTER-SKIP] 0003 110/4226 -> chapter_0110.json (state)
[CHAPTER-SKIP] 0003 111/4226 -> chapter_0111.json (state)
[CHAPTER-SKIP] 0003 112/4226 -> chapter_0112.json (state)
[CHAPTER-SKIP] 0003 113/4226 -> chapter_0113.json (state)
[CHAPTER-SKIP] 0003 114/4226 -> chapter_0114.json (state)
[CHAPTER-SKIP] 0003 115/4226 -> chapter_0115.json (state)
[CHAPTER-SKIP] 0003 116/4226 -> chapter_0116.json (state)
[CHAPTER-SKIP] 0003 117/4226 -> chapter_0117.json (state)
[CHAPTER-SKIP] 0003 118/4226 -> chapter_0118.json (state)
[CHAPTER-SKIP] 0003 119/4226 -> chapter_0119.json (state)
[CHAPTER-SKIP] 0003 120/4226 -> chapter_0120.json (state)
[CHAPTER-SKIP] 0003 121/4226 -> chapter_0121.json (state)
[CHAPTER-SKIP] 0003 122/4226 -> chapter_0122.json (state)
[CHAPTER-SKIP] 0003 123/4226 -> chapter_0123.json (state)
[CHAPTER-SKIP] 0003 124/4226 -> chapter_0124.json (state)
[CHAPTER-SKIP] 0003 125/4226 -> chapter_0125.json (state)
[CHAPTER-SKIP] 0003 126/4226 -> chapter_0126.json (state)
[CHAPTER-SKIP] 0003 127/4226 -> chapter_0127.json (state)
[CHAPTER-SKIP] 0003 128/4226 -> chapter_0128.json (state)
[CHAPTER-SKIP] 0003 129/4226 -> chapter_0129.json (state)
[CHAPTER-SKIP] 0003 130/4226 -> chapter_0130.json (state)
[CHAPTER-SKIP] 0003 131/4226 -> chapter_0131.json (state)
[CHAPTER-SKIP] 0003 132/4226 -> chapter_0132.json (state)
[CHAPTER-SKIP] 0003 133/4226 -> chapter_0133.json (state)
[CHAPTER-SKIP] 0003 134/4226 -> chapter_0134.json (state)
[CHAPTER-SKIP] 0003 135/4226 -> chapter_0135.json (state)
[CHAPTER-SKIP] 0003 136/4226 -> chapter_0136.json (state)
[CHAPTER-SKIP] 0003 137/4226 -> chapter_0137.json (state)
[CHAPTER-SKIP] 0003 138/4226 -> chapter_0138.json (state)
[CHAPTER-SKIP] 0003 139/4226 -> chapter_0139.json (state)
[CHAPTER-SKIP] 0003 140/4226 -> chapter_0140.json (state)
[CHAPTER-SKIP] 0003 141/4226 -> chapter_0141.json (state)
[CHAPTER-SKIP] 0003 142/4226 -> chapter_0142.json (state)
[CHAPTER-SKIP] 0003 143/4226 -> chapter_0143.json (state)
[CHAPTER-SKIP] 0003 144/4226 -> chapter_0144.json (state)
